,predictions,reference
0,A crowd of people at an event that is crowded with a man in black playing a keyboard. The people all have red caps on their,This church choir sings to the masses as they sing joyous songs from the book at a church. The church is filled with song.
1,A woman in a green shirt is standing on the table holding a red and white plastic toy. The woman is playing with her instrument.,"A woman with a green headscarf, blue shirt and a very big grin. The woman is very happy."
2,A woman walks next to the camera in front of a brightly colored truck. A woman is walking her dog into a lot of places.,An old man with a package poses in front of an advertisement. A man poses in front of an ad.
3,a woman in a white hat stands next to a bus. A person in a white hat is talking to another person on,A statue at a museum that no seems to be looking at. There is a statue that not many people seem to be interested in.
4,A man with no shirt and skis in the snow as he crosses the bridge. A boy with shorts and skis is in a,A land rover is being driven across a river. A Land Rover is splashing water as it crosses a river.
5,"A black and white dog, with a stick in its mouth, descends through a fence. dog is on the ski slope",A land rover is being driven across a river. A vehicle is crossing a river.
6,A man in a blue shirt playing the guitar. A person in a band is doing some tricks.,A man playing an electric guitar on stage. A man playing guitar on stage.
7,Several basketball players in full gear are sitting outside reading their journals. The basketball players need to fill their barrels when they have gathered liter,A blond-haired doctor and her African american assistant looking threw new medical manuals. A doctor is looking at a.
8,A man wearing a white shirt is laying on the ground with a rope tied to his head. A person is riding a bike through,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat."
9,A group of people walking down the street next to a beautiful scene. The people are taking a picture of a child swimming,A young family enjoys feeling ocean waves lap at their feet. A family is at the beach.
10,A man doing a wheelie in front of a wall. the boy is walking down the street,A couple walk hand in hand down a street. A couple is walking together.
11,"Several people are at the same time, and there are cameras on both sides of the street. People are at the same time, and they are",3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people pose for a picture.
12,"Several people, both inside and out, run through the snow. The people are standing in a park, looking at piles of marshmallows",3 young man in hoods standing in the middle of a quiet street facing the camera. Three hood wearing people stand in a street.
13,A man in a white tank top is walking. A woman in a pink shirt is taking a bath.,A man reads the paper in a bar with green lighting. The man is inside.
14,A woman in black and white shirt sits on a railing. The people are watching a ski race by the steps.,Three firefighter come out of subway station. Three firefighters coming up from a subway station.
